ticker,has_prices,price_age_days,has_fundamentals,filing_age_days,has_market_cap,freshness_label
DAL,True,3,True,26,True,fresh
DASH,True,3,True,75,False,fresh
DB,True,3,True,53,True,fresh
DD,False,,False,,False,missing
DDOG,True,3,True,75,False,fresh
DE,True,3,True,67,True,fresh
DECK,False,,False,,False,missing
DELL,True,3,True,49,True,fresh
DEO,True,3,True,263,True,fresh
DG,True,3,True,45,True,fresh
DGX,False,,False,,False,missing
DHI,True,3,True,11,True,fresh
DHR,True,3,True,13,True,fresh
DIS,True,3,True,91,True,fresh
DLR,False,,False,,False,missing
DLTR,False,,False,,False,missing
DOC,False,,False,,False,missing
DOV,True,3,True,11,True,fresh
DOW,True,3,True,10,True,fresh
DPZ,False,,False,,False,missing
DRI,False,,False,,False,missing
DTE,True,3,True,4,True,fresh
DTEGY,True,3,True,5912,False,fresh
DUK,True,3,True,67,True,fresh
DVA,False,,False,,False,missing
DVN,True,3,True,75,True,fresh
DXCM,False,,False,,False,missing
E,True,3,True,42,True,fresh
EA,True,3,True,90,True,fresh
EBAY,True,3,True,5,True,fresh
EC,True,3,True,4,True,fresh
ECL,True,3,True,70,True,fresh
ED,True,3,True,74,True,fresh
EFX,False,,False,,False,missing
EG,False,,False,,False,missing
EIX,True,3,True,6,True,fresh
EL,True,3,True,88,False,fresh
ELV,True,3,True,12,True,fresh
EME,True,3,True,5,True,fresh
EMR,True,3,True,90,True,fresh
ENB,True,3,True,80,True,fresh
EOG,True,3,True,69,True,fresh
EONGY,True,3,True,6998,False,fresh
EPAM,False,,False,,False,missing
EPD,True,3,True,66,True,fresh
EQIX,True,3,True,5,True,fresh
EQNR,True,3,True,46,True,fresh
EQR,False,,False,,False,missing
EQT,True,3,True,12,True,fresh
ERIC,True,3,True,53,False,fresh
ERIE,False,,False,,False,missing
ES,False,,False,,False,missing
ESLT,True,3,True,48,True,fresh
ESS,False,,False,,False,missing
ET,True,3,True,74,True,fresh
ETN,True,3,True,67,True,fresh
ETR,True,3,True,74,True,fresh
EVRG,False,,False,,False,missing
EW,True,3,True,68,True,fresh
EXC,True,3,True,81,True,fresh
EXE,False,,False,,False,missing
EXPD,False,,False,,False,missing
EXPE,True,3,True,80,True,fresh
EXR,True,3,True,73,True,fresh
F,True,3,True,4,True,fresh
FANG,True,3,True,68,True,fresh
FAST,True,3,True,18,True,fresh
FCX,True,3,True,80,True,fresh
FDS,False,,False,,False,missing
FDX,True,3,True,46,True,fresh
FE,True,3,True,6,True,fresh
FER,True,3,True,68,True,fresh
FERG,True,3,True,66,True,fresh
FFIV,False,,False,,False,missing
FICO,False,,False,,False,missing
FIS,False,,False,,False,missing
FISV,True,3,True,74,True,fresh
FITB,True,3,True,69,True,fresh
FIX,True,3,True,11,True,fresh
FLEX,True,3,True,87,True,fresh
FMX,True,3,True,10,False,fresh
FNV,True,3,True,46,True,fresh
FOX,False,,False,,False,missing
FOXA,True,3,True,89,True,fresh
FRFHF,True,3,True,59,True,fresh
FRT,False,,False,,True,missing
FSLR,False,,False,,True,missing
FSNUY,True,3,False,,False,fresh
FTI,True,3,True,4,True,fresh
FTNT,True,3,True,68,True,fresh
FTS,True,3,True,81,True,fresh
FTV,False,,False,,False,missing
GD,True,3,True,5,True,fresh
GDDY,False,,False,,False,missing
GE,True,3,True,13,True,fresh
GEHC,True,3,True,5,True,fresh
GEN,False,,False,,False,missing
GEV,True,3,True,12,True,fresh
GFI,True,3,True,35,True,fresh
GFS,True,3,True,66,True,fresh
GILD,True,3,True,69,True,fresh
GIS,False,,False,,False,missing
GL,False,,False,,False,missing
GLW,True,3,True,81,True,fresh
